meskie,damskie,nazwiska_m,nazwiska_d,miasto
PIOTR,ANNA,NOWAK,NOWAK,Staszów
KRZYSZTOF,KATARZYNA,KOWALSKI,KOWALSKA,Jędrzejów
TOMASZ,MARIA,WIŚNIEWSKI,WIŚNIEWSKA,Braniewo
ANDRZEJ,MAŁGORZATA,WÓJCIK,WÓJCIK,Hrubieszów
PAWEŁ,AGNIESZKA,KOWALCZYK,KOWALCZYK,Kamienna Góra
MICHAŁ,BARBARA,KAMIŃSKI,KAMIŃSKA,Ząbkowice Śląskie
JAN,EWA,LEWANDOWSKI,LEWANDOWSKA,Tomaszów Lubelski
MARCIN,MAGDALENA,ZIELIŃSKI,ZIELIŃSKA,Gostynin
JAKUB,ELŻBIETA,WOŹNIAK,SZYMAŃSKA,Nisko
ADAM,JOANNA,SZYMAŃSKI,DĄBROWSKA,Międzyrzecz
ŁUKASZ,KRYSTYNA,DĄBROWSKI,WOŹNIAK,Krapkowice
MAREK,ALEKSANDRA,KOZŁOWSKI,KOZŁOWSKA,Pułtusk
MATEUSZ,MONIKA,MAZUR,MAZUR,Łańcut
GRZEGORZ,ZOFIA,JANKOWSKI,JANKOWSKA,Wadowice
STANISŁAW,TERESA,KWIATKOWSKI,KWIATKOWSKA,Pisz
WOJCIECH,NATALIA,WOJCIECHOWSKI,WOJCIECHOWSKA,Olecko
MARIUSZ,JULIA,KRAWCZYK,KRAWCZYK,Krasnystaw
DARIUSZ,KAROLINA,KACZMAREK,KACZMAREK,Kozienice
MACIEJ,DANUTA,PIOTROWSKI,PIOTROWSKA,Przeworsk
RAFAŁ,MARTA,GRABOWSKI,GRABOWSKA,Sierpc
ZBIGNIEW,BEATA,ZAJĄC,PAWŁOWSKA,Busko-Zdrój
ROBERT,DOROTA,PAWŁOWSKI,KRÓL,Złotoryja
KAMIL,ALICJA,KRÓL,MICHALSKA,Strzelce Opolskie
SZYMON,JOLANTA,MICHALSKI,ZAJĄC,Słubice
DAWID,HALINA,WRÓBEL,WIECZOREK,Garwolin
JERZY,IWONA,WIECZOREK,JABŁOŃSKA,Świdwin
JACEK,ZUZANNA,JABŁOŃSKI,WRÓBEL,Choszczno
KACPER,HANNA,NOWAKOWSKI,NOWAKOWSKA,Gryfice
JÓZEF,GRAŻYNA,MAJEWSKI,MAJEWSKA,Sokółka
